"functional_classification","avg_volume","avg_sample_count","state","start_time"
"Major Collector","4063.0000000000000000","2976.0000000000000000","DC","2023-01-01"
"Minor Arterial","2025.6993695823483058","2976.0000000000000000","DC","2023-01-01"
"Trail or Shared Use Path","3958.4912224704755825","2351.1158633897223109","DC","2023-01-01"
"Major Collector","3838.0000000000000000","2688.0000000000000000","DC","2023-02-01"
"Minor Arterial","1994.9011032308904649","2688.0000000000000000","DC","2023-02-01"
"Trail or Shared Use Path","4080.8557293329077561","2321.8680178742419406","DC","2023-02-01"
"Major Collector","5421.0000000000000000","2968.0000000000000000","DC","2023-03-01"
"Minor Arterial","2547.2178881008668243","2930.2758077226162333","DC","2023-03-01"
"Trail or Shared Use Path","5093.0759393748026524","2480.3659614777391853","DC","2023-03-01"
"Major Collector","6395.0000000000000000","2880.0000000000000000","DC","2023-04-01"
"Minor Arterial","2815.4542947202521671","2880.0000000000000000","DC","2023-04-01"
"Trail or Shared Use Path","8368.3411746131986107","2494.4663719608462267","DC","2023-04-01"
"Major Collector","7391.0000000000000000","2976.0000000000000000","DC","2023-05-01"
"Minor Arterial","3090.9078014184397163","2976.0000000000000000","DC","2023-05-01"
"Trail or Shared Use Path","7709.6914876433532547","2399.1074139880471652","DC","2023-05-01"
"Major Collector","5412.0000000000000000","2481.0000000000000000","DC","2023-06-01"
"Minor Arterial","2636.7970843183609141","2811.4609929078014184","DC","2023-06-01"
"Trail or Shared Use Path","26612.192733789508","2324.4708374063212773","DC","2023-06-01"
"Major Collector","5632.0000000000000000","2866.0000000000000000","DC","2023-07-01"
"Minor Arterial","2432.7202521670606777","2887.4609929078014184","DC","2023-07-01"
"Trail or Shared Use Path","25759.397723352880","2319.0444981027940669","DC","2023-07-01"
"Major Collector","38741.339901477833","2882.8374384236453202","DC","2023-08-01"
"Minor Arterial","2596.7245862884160757","2976.0000000000000000","DC","2023-08-01"
"Trail or Shared Use Path","26210.883085576537","2426.1020490156689434","DC","2023-08-01"
"Major Collector","34235.768472906404","2741.4384236453201970","DC","2023-09-01"
"Minor Arterial","2552.9578408195429472","2880.0000000000000000","DC","2023-09-01"
"Trail or Shared Use Path","14102.643608074012","2232.7510513036164844","DC","2023-09-01"
"Major Collector","18470.546798029557","2726.3054187192118227","DC","2023-10-01"
"Minor Arterial","2837.6386918833727344","2976.0000000000000000","DC","2023-10-01"
"Trail or Shared Use Path","4634.4736956521739130","2594.9330434782608696","DC","2023-10-01"
"Major Collector","4744.0000000000000000","2876.0000000000000000","DC","2023-11-01"
"Minor Arterial","2435.2040977147360126","2874.8557919621749409","DC","2023-11-01"
"Trail or Shared Use Path","2655.1306521739130435","2321.6378260869565217","DC","2023-11-01"
"Major Collector","3260.0000000000000000","2976.0000000000000000","DC","2023-12-01"
"Minor Arterial","2025.4117415287628054","2976.0000000000000000","DC","2023-12-01"
"Trail or Shared Use Path","2439.2828260869565217","2857.6704347826086957","DC","2023-12-01"
"Major Collector","1297.1109765940274415","2976.0000000000000000","MN","2023-01-01"
"Minor Arterial","656.5980562304755293","2864.5942381117667477","MN","2023-01-01"
"Trail or Shared Use Path","186.3518172100481026","2937.6718332442544094","MN","2023-01-01"
"Major Collector","959.8777239709443099","2688.0000000000000000","MN","2023-02-01"
"Minor Arterial","691.5119750086775425","2674.3103089205137105","MN","2023-02-01"
"Trail or Shared Use Path","198.6465793693212186","2651.0913949759486905","MN","2023-02-01"
"Major Collector","1228.1569814366424536","2811.7417271993543180","MN","2023-03-01"
"Minor Arterial","919.9441166261714682","2745.9354390836515099","MN","2023-03-01"
"Trail or Shared Use Path","315.1556654195617317","2616.2415820416889364","MN","2023-03-01"
"Major Collector","1629.9979822437449556","2658.1953188054882970","MN","2023-04-01"
"Minor Arterial","2172.9364803887539049","2880.0000000000000000","MN","2023-04-01"
"Trail or Shared Use Path","1450.7379743452699091","2634.6961517904863709","MN","2023-04-01"
"Major Collector","3053.3805488297013721","2821.3623890234059726","MN","2023-05-01"
"Minor Arterial","4264.3911836167997223","2953.7535577924331829","MN","2023-05-01"
"Trail or Shared Use Path","3594.9240937585173072","2357.0250749523030799","MN","2023-05-01"
"Major Collector","3158.0068603712671509","2814.2437449556093624","MN","2023-06-01"
"Minor Arterial","4564.2165914612981604","2818.0603956959389101","MN","2023-06-01"
"Trail or Shared Use Path","4628.8050847457627119","2823.1364852809991079","MN","2023-06-01"
"Major Collector","3124.4180790960451977","2701.1581920903954802","MN","2023-07-01"
"Minor Arterial","4427.3741756334606040","2659.5286358903158625","MN","2023-07-01"
"Trail or Shared Use Path","4610.5427415275670207","2565.7668184117349519","MN","2023-07-01"
"Major Collector","2855.9761904761904762","2862.8894269572235674","MN","2023-08-01"
"Minor Arterial","4987.9574970484061393","2976.0000000000000000","MN","2023-08-01"
"Trail or Shared Use Path","4535.2201568032372281","2976.0000000000000000","MN","2023-08-01"
"Major Collector","3183.9297820823244552","2880.0000000000000000","MN","2023-09-01"
"Minor Arterial","4349.9858323494687131","2880.0000000000000000","MN","2023-09-01"
"Trail or Shared Use Path","3463.3509104704097117","2876.6125442589782499","MN","2023-09-01"
"Major Collector","2499.7203389830508475","2976.0000000000000000","MN","2023-10-01"
"Minor Arterial","2997.5954348681621409","2976.0000000000000000","MN","2023-10-01"
"Trail or Shared Use Path","1914.1402377339403136","2976.0000000000000000","MN","2023-10-01"
"Major Collector","1345.7445520581113801","2876.0000000000000000","MN","2023-11-01"
"Minor Arterial","1928.8634395907123180","2876.0000000000000000","MN","2023-11-01"
"Trail or Shared Use Path","848.6205108750632271","2876.0000000000000000","MN","2023-11-01"
"Major Collector","1007.3438256658595642","2976.0000000000000000","MN","2023-12-01"
"Minor Arterial","1168.3286107831562377","2976.0000000000000000","MN","2023-12-01"
"Trail or Shared Use Path","476.8832827516439049","2976.0000000000000000","MN","2023-12-01"
"Interstate","7221.0000000000000000","2976.0000000000000000","VA","2023-01-01"
"Major Collector","1659.0000000000000000","2976.0000000000000000","VA","2023-01-01"
"Minor Arterial","804.6849470499243570","2898.6490166414523449","VA","2023-01-01"
"Principal Arterial - Other","5155.1144424131627057","2961.5111517367458867","VA","2023-01-01"
"Trail or Shared Use Path","3946.1606334841628959","2955.5334043119510248","VA","2023-01-01"
"Interstate","7062.5000000000000000","2688.0000000000000000","VA","2023-02-01"
"Major Collector","1677.0000000000000000","2688.0000000000000000","VA","2023-02-01"
"Minor Arterial","850.1893617021276596","2688.0000000000000000","VA","2023-02-01"
"Principal Arterial - Other","5307.8388157894736842","2656.8236842105263158","VA","2023-02-01"
"Trail or Shared Use Path","4058.9910833111525153","2688.0000000000000000","VA","2023-02-01"
"Interstate","8276.5000000000000000","2880.0000000000000000","VA","2023-03-01"
"Major Collector","2135.0000000000000000","2880.0000000000000000","VA","2023-03-01"
"Minor Arterial","939.0302571860816944","2574.1346444780635401","VA","2023-03-01"
"Principal Arterial - Other","7014.3480263157894737","2906.0666666666666667","VA","2023-03-01"
"Trail or Shared Use Path","5503.1495874367846686","2888.3430928932659036","VA","2023-03-01"
"Interstate","14042.000000000000","2880.0000000000000000","VA","2023-04-01"
"Major Collector","3148.0000000000000000","2880.0000000000000000","VA","2023-04-01"
"Minor Arterial","1394.4485627836611195","2805.4765506807866868","VA","2023-04-01"
"Principal Arterial - Other","9101.4697368421052632","2880.0000000000000000","VA","2023-04-01"
"Trail or Shared Use Path","8267.3719723183391003","2879.7122704285334043","VA","2023-04-01"
"Interstate","18381.000000000000","2976.0000000000000000","VA","2023-05-01"
"Major Collector","3799.0000000000000000","2976.0000000000000000","VA","2023-05-01"
"Minor Arterial","1739.7136913767019667","2976.0000000000000000","VA","2023-05-01"
"Principal Arterial - Other","10588.154385964912","2976.0000000000000000","VA","2023-05-01"
"Trail or Shared Use Path","10013.325126430663","2952.6116582379558158","VA","2023-05-01"
"Interstate","16622.500000000000","2880.0000000000000000","VA","2023-06-01"
"Major Collector","3827.0000000000000000","2880.0000000000000000","VA","2023-06-01"
"Minor Arterial","1537.7049924357034796","2787.5990922844175492","VA","2023-06-01"
"Principal Arterial - Other","9810.8475877192982456","2862.9059210526315789","VA","2023-06-01"
"Trail or Shared Use Path","8904.9173588039867110","2762.6362126245847176","VA","2023-06-01"
"Interstate","17899.500000000000","2976.0000000000000000","VA","2023-07-01"
"Major Collector","3854.0000000000000000","2976.0000000000000000","VA","2023-07-01"
"Minor Arterial","1328.0911497730711044","2771.6611195158850227","VA","2023-07-01"
"Principal Arterial - Other","10140.546491228070","2886.5247807017543860","VA","2023-07-01"
"Trail or Shared Use Path","8905.0906699889258029","2581.9305094130675526","VA","2023-07-01"
"Interstate","18036.500000000000","2976.0000000000000000","VA","2023-08-01"
"Major Collector","3852.0000000000000000","2976.0000000000000000","VA","2023-08-01"
"Minor Arterial","1155.7571860816944024","2961.5219364599092284","VA","2023-08-01"
"Principal Arterial - Other","10799.210526315789","2967.3098684210526316","VA","2023-08-01"
"Trail or Shared Use Path","9548.1554540420819491","2691.0933001107419712","VA","2023-08-01"
"Interstate","15307.000000000000","2880.0000000000000000","VA","2023-09-01"
"Major Collector","3307.0000000000000000","2880.0000000000000000","VA","2023-09-01"
"Minor Arterial","1071.3502269288956127","2650.3751891074130106","VA","2023-09-01"
"Principal Arterial - Other","9972.8758771929824561","2880.0000000000000000","VA","2023-09-01"
"Trail or Shared Use Path","8763.7963821892393321","2840.2572665429808287","VA","2023-09-01"
"Interstate","14384.000000000000","2976.0000000000000000","VA","2023-10-01"
"Major Collector","3553.0000000000000000","2976.0000000000000000","VA","2023-10-01"
"Minor Arterial","1126.0850983358547655","2732.5688350983358548","VA","2023-10-01"
"Principal Arterial - Other","9308.6934210526315789","2802.1796052631578947","VA","2023-10-01"
"Trail or Shared Use Path","8741.2272727272727273","2963.1589363017934447","VA","2023-10-01"
"Interstate","8823.0000000000000000","2872.0000000000000000","VA","2023-11-01"
"Major Collector","2042.0000000000000000","2876.0000000000000000","VA","2023-11-01"
"Minor Arterial","750.2106656580937973","2461.2692889561270802","VA","2023-11-01"
"Principal Arterial - Other","6674.4463120923231310","2838.6848971399899649","VA","2023-11-01"
"Trail or Shared Use Path","5299.9814471243042672","2876.0000000000000000","VA","2023-11-01"
"Interstate","6018.5000000000000000","2976.0000000000000000","VA","2023-12-01"
"Major Collector","1221.0000000000000000","2976.0000000000000000","VA","2023-12-01"
"Minor Arterial","756.3499043977055449","2976.0000000000000000","VA","2023-12-01"
"Principal Arterial - Other","4931.8991470145509282","2976.0000000000000000","VA","2023-12-01"
"Trail or Shared Use Path","3503.5677179962894249","2976.0000000000000000","VA","2023-12-01"
